"﻿Punto","Este","Norte"
"734","809201,127","1512108,46"
"735","809201,681","1512106,57"
"736","809201,808","1512106,03"
"737","809201,866","1512105,58"
"738","809201,874","1512105,49"
"739","809201,909","1512105,08"
"740","809202,524","1512100,89"
"741","809202,551","1512100,67"
"742","809203,063","1512095,74"
"743","809203,075","1512095,61"
"744","809203,082","1512095,52"
"745","809203,464","1512090,57"
"746","809203,849","1512085,65"
"747","809204,339","1512080,7"
"748","809204,831","1512075,81"
"749","809205,431","1512070,9"
"750","809206,085","1512065,98"
"751","809206,129","1512065,33"
"752","809206,162","1512060,27"
"753","809206,162","1512060,17"
"754","809206,104","1512055,12"
"755","809206,028","1512054,31"
"756","809205,971","1512054,03"
"757","809204,843","1512049,13"
"758","809204,464","1512044,58"
"759","809204,507","1512039,87"
"760","809204,747","1512035,55"
"761","809205,582","1512030,59"
"762","809206,41","1512025,65"
"763","809207,22","1512020,7"
"764","809208,039","1512015,8"
"765","809208,892","1512010,88"
"766","809209,741","1512005,93"
"767","809210,542","1512000,97"
"768","809211,332","1511996,05"
"769","809212,18","1511991,14"
"770","809212,997","1511986,19"
"771","809213,82","1511981,27"
"772","809214,662","1511976,35"
"773","809215,492","1511971,41"
"774","809216,313","1511966,47"
"775","809217,127","1511961,52"
"776","809217,925","1511956,58"
"777","809218,719","1511951,67"
"778","809219,564","1511946,76"
"779","809220,407","1511941,81"
"780","809221,216","1511936,86"
"781","809221,282","1511936,05"
"782","809221,206","1511935,19"
"783","809220,98","1511934,34"
"784","809220,612","1511933,55"
"785","809220,112","1511932,84"
"786","809219,496","1511932,22"
"787","809218,782","1511931,72"
"788","809217,992","1511931,36"
"789","809217,124","1511931,13"
"790","809217,015","1511931,11"
"791","809215,762","1511930,9"
"792","809205,108","1511929,13"
"793","809203,852","1511928,92"
"794","809203,776","1511928,9"
"795","809203,63","1511928,88"
"796","809203,516","1511928,86"
"797","809203,403","1511928,84"
"798","809203,291","1511928,82"
"799","809203,179","1511928,81"
"800","809203,067","1511928,79"
"801","809202,956","1511928,77"
"802","809202,844","1511928,75"
"803","809202,734","1511928,73"
"804","809202,622","1511928,71"
"805","809202,418","1511928,68"
"806","809201,162","1511928,47"
"807","809200,581","1511928,37"
"808","809198,172","1511927,97"
"809","809190,509","1511926,7"
"810","809189,253","1511926,49"
"811","809186,182","1511925,98"
"812","809185,361","1511925,91"
"813","809184,493","1511925,99"
"814","809183,651","1511926,21"
"815","809182,861","1511926,58"
"816","809182,147","1511927,08"
"817","809181,531","1511927,7"
"818","809181,031","1511928,41"
"819","809180,663","1511929,2"
"820","809180,429","1511930,09"
"821","809179,81","1511934,02"
"822","809179,778","1511934,22"
"823","809179,005","1511938,92"
"824","809178,967","1511939,15"
"825","809178,22","1511943,89"
"826","809178,2","1511944,01"
"827","809177,296","1511948,63"
"828","809176,081","1511953,12"
"829","809176,023","1511953,34"
"830","809174,767","1511957,97"
"831","809174,709","1511958,19"
"832","809173,457","1511962,83"
"833","809173,4","1511963,04"
"834","809173,296","1511963,52"
"835","809172,541","1511968,28"
"836","809172,507","1511968,5"
"837","809171,74","1511973,19"
"838","809171,716","1511973,34"
"839","809170,829","1511977,99"
"840","809169,647","1511982,5"
"841","809169,591","1511982,72"
"842","809169,522","1511983,02"
"843","809168,595","1511987,71"
"844","809168,568","1511987,85"
"845","809167,511","1511992,44"
"846","809167,462","1511992,66"
"847","809167,422","1511992,85"
"848","809166,532","1511997,54"
"849","809166,49","1511997,77"
"850","809165,612","1512002,47"
"851","809165,572","1512002,69"
"852","809164,701","1512007,4"
"853","809164,658","1512007,63"
"854","809164,58","1512008,4"
"855","809164,463","1512013,17"
"856","809163,851","1512017,63"
"857","809163,821","1512017,85"
"858","809163,792","1512018,11"
"859","809163,392","1512022,91"
"860","809162,68","1512027,48"
"861","809162,66","1512027,61"
"862","809161,775","1512032,22"
"863","809161,727","1512032,47"
"864","809161,707","1512032,59"
"865","809160,954","1512037,31"
"866","809160,928","1512037,48"
"867","809160,089","1512042,14"
"868","809160,051","1512042,35"
"869","809159,201","1512047,05"
"870","809159,16","1512047,28"
"871","809158,325","1512052"
"872","809158,289","1512052,2"
"873","809157,428","1512056,88"
"874","809157,385","1512057,11"
"875","809157,364","1512057,24"
"876","809156,64","1512061,97"
"877","809156,615","1512062,13"
"878","809155,797","1512066,79"
"879","809155,755","1512067,03"
"880","809154,971","1512071,77"
"881","809154,94","1512071,95"
"882","809154,103","1512076,62"
"883","809154,067","1512076,82"
"884","809153,196","1512081,51"
"885","809153,152","1512081,75"
"886","809153,135","1512081,85"
"887","809152,377","1512086,57"
"888","809152,346","1512086,76"
"889","809151,555","1512091,46"
"890","809151,522","1512091,66"
"891","809150,688","1512096,34"
"892","809150,652","1512096,54"
"893","809149,793","1512101,23"
"894","809149,746","1512101,49"
"895","809148,955","1512106,25"
"896","809148,921","1512106,45"
"897","809148,119","1512111,15"
"898","809148,078","1512111,4"
"899","809147,328","1512116,16"
"900","809147,296","1512116,36"
"901","809146,526","1512121,06"
"902","809146,489","1512121,28"
"903","809145,733","1512126,02"
"904","809145,694","1512126,26"
"905","809144,99","1512131,02"
"906","809144,967","1512131,18"
"907","809144,159","1512135,82"
"908","809144,135","1512135,96"
"909","809143,186","1512140,57"
"910","809143,142","1512140,79"
"911","809143,116","1512140,93"
"912","809143,062","1512141,33"
"913","809142,613","1512146,1"
"914","809142,597","1512146,27"
"915","809142,081","1512150,75"
"916","809142,06","1512150,87"
"917","809141,232","1512155,19"
"918","809141,195","1512155,35"
"919","809141,165","1512155,49"
"920","809140,166","1512159,6"
"921","809140,14","1512159,71"
"922","809140,116","1512159,79"
"923","809139,004","1512163,69"
"924","809137,505","1512167,55"
"925","809137,019","1512168,63"
"926","809136,009","1512170,81"
"927","809135,886","1512171,02"
"928","809135,831","1512171,11"
"929","809133,738","1512174,42"
